document,actual,apple hardware,electronics,email filler words,for sale,hockey,guns,atheism,misc
728,email filler words,5.59,6.15,37.99,6.15,20.11,8.94,6.15,8.94
729,misc,4.05,5.92,9.97,4.36,20.87,6.23,10.59,38.01
730,hockey,6.56,6.01,7.65,8.2,43.17,6.01,8.2,14.21
731,email filler words,10.3,11.52,25.45,7.27,16.97,7.88,8.48,12.12
732,email filler words,6.63,8.43,37.35,7.83,15.66,7.83,7.23,9.04
733,hockey,9.18,5.1,11.22,5.61,48.47,7.14,7.14,6.12
734,email filler words,10.27,7.03,24.32,9.19,14.59,9.19,8.11,17.3
735,hockey,9.04,7.91,10.17,6.78,37.29,11.3,8.47,9.04
736,hockey,8.72,10.07,8.05,8.05,24.83,8.72,8.05,23.49
737,apple hardware,19.67,13.93,14.75,11.48,9.84,10.66,9.02,10.66
738,hockey,5.85,10.11,10.64,6.91,29.79,6.38,9.57,20.74
739,hockey,4.53,4.18,4.88,5.23,46.69,6.27,5.92,22.3
740,hockey,7.09,8.51,9.22,8.51,34.04,7.09,9.22,16.31
741,hockey,12.66,8.23,18.99,10.76,21.52,6.33,7.59,13.92
742,hockey,7.83,7.39,15.65,14.35,30.43,7.83,6.52,10.0
743,hockey,4.63,6.95,8.11,5.02,36.68,6.18,7.34,25.1
744,email filler words,8.03,8.76,30.66,8.76,16.79,8.03,9.49,9.49
745,hockey,6.25,7.39,10.8,7.95,33.52,11.36,9.66,13.07
746,hockey,8.64,6.82,12.73,7.73,30.91,5.45,5.91,21.82
747,email filler words,6.38,8.51,39.36,9.04,14.36,5.85,9.04,7.45
748,hockey,6.02,6.48,18.98,5.09,30.56,5.56,8.8,18.52
749,hockey,6.51,6.51,10.65,7.69,36.69,7.1,9.47,15.38
750,hockey,5.65,5.65,14.78,6.96,30.87,7.39,7.83,20.87
751,email filler words,8.18,6.29,37.74,9.43,13.84,6.29,9.43,8.81
752,hockey,6.31,5.83,7.77,10.19,36.41,6.8,5.83,20.87
753,email filler words,7.41,5.56,44.44,7.41,10.65,5.56,7.87,11.11
754,hockey,10.74,9.09,19.01,10.74,20.66,9.09,10.74,9.92
755,hockey,3.24,5.01,9.73,4.13,43.36,5.31,6.19,23.01
756,hockey,5.65,6.05,12.5,6.45,43.15,6.45,4.44,15.32
757,hockey,6.18,6.18,19.69,10.42,22.39,8.11,6.95,20.08
758,hockey,9.5,6.7,13.97,9.5,36.87,6.7,11.17,5.59
759,hockey,6.35,7.94,12.3,6.75,30.16,6.75,6.35,23.41
760,hockey,5.34,5.69,8.9,6.05,38.43,7.12,7.83,20.64
761,hockey,9.25,16.01,7.47,5.69,38.79,6.05,3.91,12.81
762,hockey,4.82,3.86,7.72,5.14,45.02,8.04,4.82,20.58
763,hockey,5.17,5.54,8.12,4.43,48.71,7.38,7.75,12.92
764,hockey,2.13,3.75,1.79,1.45,68.74,2.3,1.53,18.31
765,hockey,4.47,4.47,18.9,3.78,35.4,3.78,8.59,20.62
766,hockey,4.76,5.13,9.89,8.06,41.76,5.49,7.33,17.58
767,hockey,4.01,2.87,5.44,3.44,66.48,5.73,5.44,6.59
768,hockey,5.58,6.69,7.43,5.58,39.41,7.06,7.43,20.82
769,hockey,3.11,2.89,3.78,5.78,76.67,2.89,2.67,2.22
770,hockey,12.85,10.61,10.61,16.76,19.55,8.94,7.82,12.85
771,hockey,4.62,5.9,7.69,4.1,46.15,4.87,6.15,20.51
772,for sale,15.7,16.53,9.92,17.36,11.57,10.74,9.09,9.09
773,hockey,3.75,4.92,5.15,2.81,48.95,6.32,5.15,22.95
774,hockey,7.41,8.64,18.52,9.26,23.46,8.64,6.79,17.28
775,hockey,8.16,8.16,14.29,8.16,35.37,7.48,8.84,9.52
776,hockey,7.78,5.99,16.17,7.19,29.94,8.38,6.59,17.96
777,hockey,5.41,5.95,9.73,6.49,55.14,5.95,5.41,5.95
778,misc,9.36,7.6,11.11,12.28,15.2,11.11,9.36,23.98
779,hockey,5.26,5.26,6.22,9.09,55.5,7.18,5.74,5.74
780,email filler words,3.01,3.01,44.33,6.89,32.86,4.45,2.87,2.58
781,hockey,1.35,1.47,1.8,1.58,89.85,1.47,1.24,1.24
782,hockey,10.87,12.32,15.94,8.7,22.46,9.42,10.14,10.14
783,hockey,8.54,6.1,11.59,6.1,33.54,7.93,9.15,17.07
784,hockey,6.4,7.56,11.63,6.4,41.28,6.4,6.4,13.95
785,hockey,13.82,9.87,16.45,9.21,18.42,7.24,9.21,15.79
786,for sale,12.43,10.27,11.35,19.46,13.51,7.57,6.49,18.92
787,hockey,6.07,4.86,9.72,7.69,30.36,6.48,9.72,25.1
788,hockey,4.38,9.09,7.74,6.06,34.34,8.42,7.07,22.9
789,hockey,8.7,8.07,8.07,8.07,34.16,8.7,7.45,16.77
790,hockey,6.34,7.2,8.07,5.19,40.35,4.61,8.36,19.88
791,hockey,5.37,6.34,12.68,5.37,41.95,8.78,7.32,12.2
792,hockey,5.65,5.65,13.71,5.24,38.31,4.84,7.26,19.35
793,hockey,6.11,8.89,10.56,6.11,42.78,7.22,8.33,10.0
794,hockey,8.44,9.74,16.88,7.79,29.22,7.14,9.74,11.04
795,hockey,5.24,7.69,7.34,4.2,39.51,8.39,5.94,21.68
796,hockey,9.63,5.5,11.01,5.96,39.91,7.8,5.5,14.68
797,hockey,4.84,10.03,8.3,7.27,33.22,6.23,4.84,25.26
798,hockey,11.11,10.37,14.81,8.89,22.96,11.85,10.37,9.63
799,email filler words,6.94,8.33,34.03,8.33,13.89,6.94,11.11,10.42
800,email filler words,6.32,9.2,28.74,9.2,17.24,6.9,6.32,16.09
801,hockey,4.28,4.79,5.79,4.03,55.67,5.79,3.02,16.62
802,hockey,9.3,9.3,12.4,14.73,27.13,7.75,10.85,8.53
803,email filler words,14.05,14.88,18.18,9.92,11.57,9.09,11.57,10.74
804,apple hardware,14.58,11.46,13.54,13.54,10.42,13.54,12.5,10.42
805,hockey,5.65,10.87,21.3,6.96,28.26,5.22,8.7,13.04
806,hockey,3.94,4.38,5.47,3.06,53.39,4.81,5.03,19.91
807,hockey,9.95,10.45,16.42,5.47,24.88,7.46,11.44,13.93
808,hockey,7.14,9.09,11.04,6.49,33.77,7.14,9.09,16.23
809,hockey,6.16,6.16,9.48,8.06,48.82,5.21,6.64,9.48
810,hockey,7.73,7.18,18.23,11.6,21.55,7.73,6.63,19.34
811,hockey,5.14,5.82,6.16,8.56,32.19,9.59,9.59,22.95
812,hockey,6.74,5.34,6.74,4.21,35.96,9.83,8.15,23.03
813,email filler words,9.32,11.02,22.03,8.47,18.64,10.17,9.32,11.02
814,hockey,6.75,6.13,14.72,9.2,40.49,7.36,7.36,7.98
815,for sale,17.16,8.96,11.19,18.66,12.69,10.45,9.7,11.19
816,email filler words,8.23,6.96,27.85,6.33,20.89,10.13,10.76,8.86
817,email filler words,8.45,8.45,30.99,11.97,11.27,7.75,11.27,9.86
818,apple hardware,14.14,10.1,14.14,14.14,12.12,14.14,10.1,11.11
819,hockey,7.59,7.59,16.55,8.97,30.34,8.97,7.59,12.41
820,hockey,1.19,2.12,1.6,1.5,85.16,5.31,1.87,1.24
821,hockey,7.92,7.43,16.83,7.92,26.24,7.92,6.93,18.81
822,hockey,8.93,7.74,21.43,8.33,27.38,7.74,7.74,10.71
823,hockey,6.53,8.25,6.87,4.47,37.46,7.9,5.84,22.68
824,misc,4.29,8.57,5.14,4.57,29.71,5.71,6.29,35.71
825,hockey,6.19,6.53,7.22,5.15,47.77,3.44,6.87,16.84
826,hockey,4.76,8.73,9.52,5.16,46.43,7.94,8.33,9.13
827,hockey,6.87,4.72,7.3,4.72,57.94,6.87,6.01,5.58
828,hockey,6.17,8.37,16.3,5.29,28.63,7.93,7.93,19.38
829,misc,4.98,5.81,12.45,5.81,25.31,5.81,8.3,31.54
830,hockey,5.57,5.57,8.36,5.23,38.33,8.01,5.92,23.0
831,hockey,2.36,3.02,3.02,2.62,57.09,3.54,4.33,24.02
832,hockey,2.75,2.75,3.85,2.75,79.67,2.75,2.75,2.75
833,misc,8.78,7.43,12.84,13.51,19.59,8.11,9.46,20.27
834,hockey,8.5,7.0,7.0,7.0,30.0,10.0,10.5,20.0
835,hockey,5.93,9.32,6.78,10.59,27.54,8.47,10.17,21.19
836,hockey,5.53,9.05,17.59,10.55,22.61,11.06,10.05,13.57
837,hockey,6.67,7.78,16.67,6.67,34.44,6.67,7.78,13.33
838,hockey,4.85,6.8,22.33,5.83,27.18,7.28,7.28,18.45
839,hockey,7.51,8.09,10.4,10.98,31.21,6.94,8.67,16.18
840,hockey,7.47,6.32,9.2,5.75,51.15,6.32,6.32,7.47
841,hockey,9.09,13.29,18.18,9.09,22.38,7.69,7.69,12.59
842,email filler words,8.16,6.8,31.97,10.2,12.93,8.16,8.16,13.61
843,hockey,7.75,7.04,9.86,10.56,40.85,9.15,7.75,7.04
844,hockey,8.28,10.65,13.61,10.06,27.22,6.51,8.88,14.79
845,hockey,10.14,8.11,15.54,8.11,28.38,8.11,10.81,10.81
846,hockey,9.32,6.83,13.66,11.18,20.5,11.8,6.83,19.88
847,misc,5.81,7.47,10.37,7.47,25.31,5.39,7.88,30.29
848,misc,8.38,8.38,10.78,6.59,20.96,6.59,11.38,26.95
849,hockey,3.71,6.68,17.57,2.97,30.69,4.46,10.89,23.02
850,hockey,4.93,4.93,19.21,6.4,47.78,4.93,5.91,5.91
851,hockey,7.19,6.03,7.66,3.25,38.28,6.96,10.44,20.19
852,hockey,6.35,5.56,11.51,7.94,43.25,7.14,4.76,13.49
853,hockey,6.15,5.64,21.03,7.69,28.72,9.23,6.67,14.87
854,hockey,3.88,5.68,11.11,3.62,50.65,4.39,4.39,16.28
855,email filler words,3.38,4.51,37.75,3.94,18.59,4.79,9.58,17.46
856,email filler words,6.67,6.67,30.48,5.24,27.62,7.62,5.71,10.0
857,email filler words,7.32,9.41,24.04,6.62,23.0,8.01,6.97,14.63
858,hockey,8.61,7.66,8.13,7.66,45.45,5.74,8.61,8.13
859,hockey,5.07,7.83,11.52,6.45,39.63,5.53,9.22,14.75
860,hockey,6.91,5.85,6.38,6.38,50.53,5.32,7.45,11.17
861,hockey,8.0,10.0,17.33,10.0,21.33,10.67,7.33,15.33
862,hockey,4.19,3.07,5.59,4.19,59.22,4.19,3.35,16.2
863,email filler words,4.72,8.58,49.36,5.15,14.16,5.58,4.29,8.15
864,hockey,10.84,7.83,17.47,9.64,20.48,9.64,7.23,16.87
865,hockey,4.27,3.91,8.9,4.27,67.26,4.27,3.56,3.56
866,hockey,6.99,8.82,8.09,7.35,29.41,9.93,6.99,22.43
867,hockey,8.33,7.74,15.48,8.93,30.36,5.95,11.31,11.9
868,hockey,5.71,10.0,15.71,7.14,26.19,8.57,12.38,14.29
869,hockey,6.76,7.43,15.54,8.11,33.11,8.11,8.78,12.16
870,hockey,7.25,9.84,14.51,9.33,22.8,6.74,10.88,18.65
871,email filler words,3.61,4.59,47.54,5.25,17.7,5.57,4.26,11.48
872,hockey,5.91,10.34,19.7,7.88,29.56,6.4,7.39,12.81
873,apple hardware,18.18,12.12,14.39,12.88,14.39,9.09,8.33,10.61
874,hockey,7.58,5.21,19.91,7.58,33.65,6.64,7.11,12.32
875,hockey,3.83,8.43,20.31,4.6,31.42,6.9,6.13,18.39
876,hockey,10.14,8.7,17.39,11.59,22.46,9.42,7.97,12.32
877,hockey,8.46,10.0,16.15,10.0,22.31,12.31,8.46,12.31
878,hockey,10.26,11.11,13.68,9.4,25.64,10.26,10.26,9.4
879,email filler words,8.05,7.38,30.2,9.4,14.77,8.05,9.4,12.75
880,hockey,8.22,9.59,17.12,9.59,23.97,8.9,10.96,11.64
881,hockey,9.14,6.09,17.77,5.58,30.46,5.08,14.21,11.68
882,hockey,8.7,5.8,14.49,8.7,42.03,7.25,6.76,6.28
883,hockey,1.86,4.78,2.21,2.33,64.92,3.85,3.5,16.55
884,hockey,3.99,4.84,4.84,3.99,66.38,3.99,4.27,7.69
885,hockey,3.68,3.19,3.43,2.94,78.43,2.94,2.7,2.7
886,hockey,6.77,7.29,8.33,6.25,51.56,5.73,5.73,8.33
887,hockey,3.54,5.05,5.81,4.04,64.9,4.04,3.54,9.09
888,hockey,7.81,8.59,11.72,11.72,27.34,9.38,9.38,14.06
889,hockey,5.6,5.6,12.69,10.45,31.72,8.21,6.34,19.4
890,hockey,7.14,6.67,8.1,8.1,43.33,4.76,6.19,15.71
891,hockey,8.59,8.08,6.57,8.08,41.92,7.07,6.57,13.13
892,hockey,6.74,8.99,15.73,10.11,23.6,9.55,8.43,16.85
893,hockey,5.47,6.47,11.94,7.96,38.31,7.96,5.97,15.92
894,hockey,11.45,14.5,9.92,17.56,19.08,7.63,9.16,10.69
895,hockey,13.24,8.82,8.82,13.24,23.53,8.09,12.5,11.76
896,email filler words,6.04,5.49,51.1,5.49,8.79,7.14,8.24,7.69
897,hockey,9.52,7.62,13.81,8.1,22.38,9.05,10.48,19.05
898,email filler words,11.32,9.43,15.72,15.09,15.09,6.92,12.58,13.84
899,hockey,8.11,7.57,10.27,7.57,32.43,6.49,11.89,15.68
900,guns,5.5,5.24,6.81,9.95,23.82,31.41,13.35,3.93
901,hockey,6.92,6.54,14.23,5.77,35.38,5.0,10.0,16.15
902,hockey,1.23,0.95,1.23,1.23,92.57,0.75,1.02,1.02
903,hockey,8.18,10.69,11.32,8.81,37.74,6.29,6.92,10.06
904,hockey,7.53,5.38,11.29,6.99,34.41,6.99,10.22,17.2
905,misc,4.38,4.17,12.08,2.5,23.33,10.42,15.0,28.12
906,hockey,7.66,7.18,8.13,9.09,48.33,9.09,5.74,4.78
907,hockey,11.21,12.07,17.24,11.21,18.1,9.48,10.34,10.34
908,hockey,7.87,7.3,12.36,9.55,34.83,8.99,7.87,11.24
909,hockey,8.51,7.45,16.49,6.91,31.91,9.57,6.91,12.23
910,hockey,10.37,7.32,17.07,9.15,28.05,7.93,8.54,11.59
911,for sale,8.53,9.3,12.4,22.48,14.73,10.08,9.3,13.18
912,email filler words,3.25,3.1,45.49,8.12,29.54,4.28,3.55,2.66
913,hockey,1.35,1.13,2.25,1.8,89.29,1.47,1.47,1.24
914,hockey,6.96,6.33,17.09,8.23,34.81,8.86,7.59,10.13
915,hockey,3.59,2.99,3.59,3.59,76.95,2.99,2.99,3.29
916,for sale,8.25,10.19,7.77,21.84,19.9,8.25,10.19,13.59
917,hockey,7.97,10.14,14.49,7.97,26.09,7.97,10.87,14.49
918,hockey,5.26,6.7,7.66,7.66,47.37,5.74,7.66,11.96
919,hockey,10.0,9.33,14.0,10.67,23.33,12.67,8.0,12.0
920,hockey,7.94,7.41,12.7,9.52,26.46,7.94,7.94,20.11
921,hockey,9.15,12.42,11.11,7.19,28.76,9.8,9.8,11.76
922,hockey,2.44,3.81,3.2,3.04,74.28,6.09,2.28,4.87
923,email filler words,8.33,8.97,21.15,8.97,18.59,7.05,7.69,19.23
924,hockey,6.48,5.67,10.93,6.07,35.63,7.69,10.12,17.41
925,hockey,4.09,4.09,11.01,4.72,40.57,5.66,5.97,23.9
926,hockey,12.93,11.21,15.52,12.07,17.24,10.34,8.62,12.07
927,hockey,11.15,7.32,10.1,8.36,40.77,9.41,4.88,8.01
928,misc,7.1,8.88,11.24,15.98,15.38,12.43,7.1,21.89
929,hockey,5.98,9.24,10.87,9.78,32.61,6.52,13.59,11.41
930,hockey,7.94,11.64,13.76,9.52,25.93,6.35,7.41,17.46
931,hockey,6.07,8.88,8.41,8.41,37.85,9.81,8.88,11.68
932,hockey,3.52,5.42,8.13,4.88,31.98,4.61,10.57,30.89
933,hockey,6.32,7.47,20.11,8.62,30.46,6.9,7.47,12.64
934,misc,3.99,4.56,9.12,4.27,28.77,4.56,8.83,35.9
935,hockey,4.74,6.9,9.91,6.47,28.02,6.9,9.91,27.16
936,hockey,6.67,6.67,15.56,7.78,42.78,8.33,5.56,6.67
937,hockey,10.38,11.32,11.32,15.09,18.87,10.38,11.32,11.32
938,hockey,3.4,6.07,7.52,7.52,41.5,5.34,6.31,22.33
939,hockey,9.03,7.64,11.11,8.33,31.94,9.03,9.03,13.89
940,hockey,11.71,9.91,14.41,15.32,16.22,9.91,10.81,11.71
941,hockey,7.53,8.22,9.59,9.59,38.36,8.22,7.53,10.96
942,hockey,4.78,3.88,4.78,3.88,53.13,4.48,4.48,20.6
943,hockey,9.74,8.44,9.74,12.34,29.22,11.04,7.79,11.69
944,hockey,7.42,5.47,15.23,6.25,34.38,5.47,7.42,18.36
945,hockey,4.23,7.39,8.8,4.93,40.49,5.28,11.62,17.25
946,hockey,9.01,8.56,17.12,7.66,22.97,6.76,7.66,20.27
947,hockey,6.88,7.5,15.62,6.88,28.75,6.25,8.75,19.38
948,hockey,10.47,6.98,12.4,9.3,30.62,6.59,4.65,18.99
949,hockey,8.96,6.97,9.45,10.95,30.85,12.44,8.46,11.94
950,hockey,7.48,6.54,16.82,8.41,29.91,6.07,6.07,18.69
951,hockey,4.82,9.21,9.21,6.58,37.72,6.58,7.89,17.98
952,hockey,5.26,7.18,9.09,9.09,44.02,6.7,8.61,10.05
953,hockey,8.5,8.5,15.69,9.8,31.37,6.54,7.84,11.76
954,hockey,8.06,5.91,14.52,8.6,33.33,8.6,8.6,12.37
955,hockey,8.24,8.24,11.76,11.18,35.29,6.47,8.82,10.0
956,hockey,10.53,9.21,11.18,9.87,30.26,8.55,10.53,9.87
957,hockey,4.23,9.97,8.76,4.83,43.2,6.04,7.55,15.41
958,hockey,7.19,6.54,12.42,6.54,41.18,7.19,7.19,11.76
959,email filler words,9.66,6.82,23.86,9.09,13.64,10.23,8.52,18.18
960,hockey,11.93,10.09,15.6,11.01,18.35,9.17,9.17,14.68
961,hockey,7.14,6.67,9.05,7.62,32.38,8.57,8.1,20.48
962,hockey,6.74,8.43,11.8,9.55,29.78,6.18,8.99,18.54
963,hockey,5.22,7.83,17.83,7.83,29.57,5.65,5.22,20.87
964,hockey,10.26,7.69,10.9,16.03,24.36,6.41,10.9,13.46
965,hockey,3.79,10.35,6.57,4.29,45.71,7.83,8.08,13.38
966,email filler words,3.65,6.38,53.8,3.95,13.98,5.47,4.86,7.9
967,hockey,7.87,10.24,10.24,8.66,33.07,9.45,10.24,10.24
968,hockey,7.33,9.33,12.67,6.67,30.67,9.33,8.0,16.0
969,hockey,7.42,6.36,6.36,6.01,50.88,5.65,6.71,10.6
970,hockey,7.38,5.54,10.33,4.8,36.53,5.54,5.9,23.99
971,hockey,11.11,12.96,12.04,12.96,21.3,9.26,9.26,11.11
972,email filler words,10.0,7.69,21.54,8.46,20.77,9.23,10.77,11.54
973,hockey,6.9,8.05,22.41,8.05,24.71,8.05,7.47,14.37
974,email filler words,3.31,3.86,52.34,3.31,11.29,4.68,6.34,14.88
975,hockey,8.61,6.56,6.56,6.56,31.15,8.61,8.2,23.77
976,hockey,7.87,11.8,9.55,7.3,23.6,8.43,8.99,22.47
977,hockey,14.63,9.76,8.94,11.38,23.58,11.38,8.94,11.38
978,hockey,2.49,7.84,6.69,3.63,39.39,3.44,6.12,30.4
979,email filler words,6.99,6.45,29.03,8.6,16.67,5.91,9.68,16.67
980,email filler words,4.42,7.63,39.76,4.82,18.07,5.22,5.62,14.46
981,hockey,10.4,12.0,19.2,8.8,20.0,8.0,9.6,12.0
982,hockey,5.08,6.03,8.89,5.71,40.95,6.67,3.81,22.86
983,email filler words,4.82,8.77,21.49,11.84,17.98,9.21,6.58,19.3
984,hockey,5.56,6.57,16.16,5.05,35.35,7.58,13.13,10.61
985,hockey,7.17,7.17,26.91,6.28,27.8,6.28,7.62,10.76
986,hockey,4.71,4.38,5.72,5.39,51.85,4.71,7.07,16.16
987,hockey,9.14,6.29,9.71,8.57,40.57,6.29,8.57,10.86
988,apple hardware,17.27,11.82,11.82,12.73,13.64,11.82,9.09,11.82
989,hockey,6.73,8.65,12.98,12.02,30.29,8.65,10.58,10.1
990,hockey,4.45,3.95,2.47,4.12,67.71,4.61,4.61,8.07
991,hockey,4.38,5.72,4.71,4.71,59.93,6.73,8.42,5.39
992,email filler words,2.52,4.37,54.12,2.69,9.58,3.36,6.89,16.47
993,apple hardware,15.53,15.53,13.59,15.53,9.71,10.68,9.71,9.71
994,hockey,7.14,8.79,10.44,18.68,21.98,9.34,7.69,15.93
995,hockey,5.51,5.91,5.51,5.91,53.54,6.69,4.72,12.2
996,email filler words,2.77,2.77,46.86,2.77,10.7,3.32,10.52,20.3
997,hockey,7.37,6.45,22.12,8.29,28.11,8.76,5.99,12.9
998,hockey,7.63,6.49,13.36,4.96,40.84,7.63,7.25,11.83
999,hockey,10.14,6.76,13.04,5.8,28.99,8.7,9.18,17.39
1000,email filler words,8.97,10.26,21.15,8.97,17.95,6.41,12.82,13.46
1001,hockey,7.24,9.87,12.5,7.89,24.34,8.55,7.89,21.71
1002,email filler words,2.09,3.59,39.91,2.99,11.96,1.94,14.05,23.47
1003,hockey,6.86,5.88,7.84,6.37,56.37,4.9,5.88,5.88
1004,hockey,6.99,7.53,11.29,12.37,33.87,13.98,5.38,8.6
1005,hockey,8.54,9.76,16.46,8.54,22.56,8.54,8.54,17.07
1006,hockey,9.55,8.28,15.29,7.64,27.39,8.92,8.28,14.65
1007,hockey,6.33,5.91,8.44,10.13,45.99,6.33,6.75,10.13
1008,email filler words,7.69,8.88,23.67,8.88,20.12,6.51,6.51,17.75
1009,hockey,12.08,6.71,19.46,9.4,25.5,8.05,8.05,10.74
1010,hockey,6.12,11.73,17.86,8.67,19.9,7.65,9.18,18.88
1011,hockey,8.74,5.83,11.65,6.31,41.26,4.85,5.83,15.53
1012,email filler words,4.5,7.27,31.14,5.19,24.91,5.88,7.96,13.15
1013,hockey,4.61,7.41,5.01,4.21,52.51,6.41,6.01,13.83
1014,email filler words,4.64,4.29,55.0,5.36,18.57,3.93,4.64,3.57
1015,email filler words,9.02,7.52,28.57,11.28,15.04,7.52,7.52,13.53
1016,hockey,4.87,6.37,10.11,4.49,46.82,5.24,5.24,16.85
1017,hockey,8.17,8.17,11.54,6.73,38.46,7.69,9.62,9.62
1018,hockey,7.74,6.45,14.84,8.39,35.48,7.74,6.45,12.9
1019,hockey,7.21,8.2,6.56,5.9,56.07,3.93,5.57,6.56
1020,email filler words,9.89,7.69,25.27,6.04,15.93,7.14,12.09,15.93
1021,hockey,2.87,3.99,4.31,2.23,71.45,2.39,2.23,10.53
1022,hockey,2.53,4.74,4.11,2.69,59.87,7.11,7.11,11.85
1023,hockey,6.83,6.21,9.94,11.18,44.1,8.7,6.21,6.83
1024,hockey,7.78,10.0,10.0,11.11,33.33,8.33,7.22,12.22
1025,hockey,5.61,8.41,11.68,7.48,35.05,5.61,9.81,16.36
1026,hockey,6.1,8.92,12.68,6.57,40.85,7.51,8.92,8.45
1027,hockey,7.35,6.37,9.8,14.71,29.9,9.8,6.86,15.2
1028,hockey,7.21,9.91,10.81,9.01,27.03,14.41,6.31,15.32
1029,hockey,6.91,6.55,6.91,9.45,40.73,13.45,5.82,10.18
1030,hockey,5.0,8.0,12.0,10.33,40.33,7.33,5.33,11.67
1031,hockey,9.4,7.38,16.78,10.74,19.46,16.11,10.07,10.07
1032,hockey,8.74,7.1,13.66,9.29,35.52,8.2,7.65,9.84
1033,hockey,7.3,7.87,8.99,10.67,33.15,7.87,9.55,14.61
1034,hockey,10.98,8.54,10.98,8.54,30.49,9.15,9.76,11.59
1035,hockey,8.33,8.33,15.91,9.85,29.55,9.85,9.09,9.09
1036,hockey,15.12,11.05,7.56,11.63,23.84,9.88,8.72,12.21
1037,email filler words,15.09,10.38,16.04,10.38,15.09,9.43,10.38,13.21
1038,misc,4.53,6.04,14.2,4.23,20.54,6.34,16.62,27.49
1039,for sale,7.6,7.6,12.28,23.39,22.22,7.02,9.94,9.94
1040,hockey,8.8,8.33,12.04,9.26,31.48,9.26,7.41,13.43
1041,hockey,5.81,6.22,8.71,8.71,43.15,7.88,6.22,13.28
1042,hockey,6.8,6.8,6.8,5.6,30.4,10.8,9.2,23.6
1043,hockey,10.32,7.94,12.7,7.94,33.33,11.11,7.94,8.73
1044,hockey,8.89,6.67,9.44,5.56,41.67,8.89,8.33,10.56
1045,hockey,9.25,8.67,12.14,8.09,26.59,7.51,11.56,16.18
1046,hockey,6.63,6.63,11.6,9.94,32.6,9.94,7.18,15.47
1047,hockey,4.62,4.2,5.88,4.62,67.23,4.62,4.62,4.2
1048,hockey,8.18,7.55,20.13,8.81,27.67,8.81,10.06,8.81
1049,hockey,7.78,9.58,10.18,7.19,28.14,8.38,8.98,19.76
1050,guns,7.85,5.79,5.37,5.37,5.37,56.2,6.2,7.85
1051,guns,2.16,4.21,2.62,1.71,3.98,73.83,4.32,7.17
1052,guns,7.58,7.2,6.44,6.06,7.58,46.59,5.68,12.88
1053,guns,1.35,3.95,1.51,2.44,1.97,70.04,14.28,4.47
1054,guns,4.56,7.22,6.46,9.51,7.22,38.4,10.65,15.97
1055,email filler words,12.78,13.53,15.79,12.78,10.53,11.28,11.28,12.03
1056,guns,4.66,4.97,7.14,3.42,4.35,55.9,12.42,7.14
1057,electronics,13.64,17.27,11.82,13.64,10.91,12.73,10.91,9.09
1058,email filler words,4.33,7.58,25.27,6.86,6.14,16.25,13.36,20.22
1059,guns,7.49,10.7,16.04,7.49,6.42,25.67,16.58,9.63
1060,guns,12.57,8.9,11.52,6.81,6.28,25.13,14.14,14.66
1061,guns,8.85,6.25,19.79,6.25,7.29,29.69,7.29,14.58
1062,guns,9.55,9.09,10.91,8.18,8.18,30.0,8.64,15.45
1063,email filler words,7.38,7.38,28.19,10.07,8.05,12.08,12.08,14.77
1064,guns,12.06,9.93,13.48,10.64,7.8,19.15,15.6,11.35
1065,guns,8.97,7.69,14.74,7.05,8.33,38.46,7.05,7.69
1066,guns,5.29,9.52,11.11,6.35,7.94,38.1,8.47,13.23
1067,guns,8.17,7.0,9.34,6.61,5.45,45.53,11.28,6.61
1068,guns,9.0,9.48,14.69,7.58,5.69,29.86,11.85,11.85
1069,guns,5.97,8.49,5.97,10.38,5.97,41.19,6.92,15.09
1070,email filler words,6.88,11.01,34.4,7.34,7.8,8.26,9.63,14.68
1071,misc,13.79,12.93,12.93,10.34,11.21,12.93,11.21,14.66
1072,guns,4.29,4.83,5.63,3.22,5.36,62.2,7.51,6.97
1073,guns,13.53,9.4,11.28,6.39,5.64,23.31,10.9,19.55
1074,guns,6.81,9.36,12.77,6.81,5.96,22.98,16.6,18.72
1075,guns,7.39,9.57,7.83,5.65,4.78,35.65,14.35,14.78
1076,guns,3.21,4.55,5.35,4.01,3.21,56.68,5.35,17.65
1077,guns,5.03,6.51,4.14,4.14,7.1,51.48,8.28,13.31
1078,guns,5.63,7.98,7.98,7.04,5.63,51.64,5.63,8.45
1079,guns,9.87,9.87,7.02,3.95,2.63,35.96,6.8,23.9
1080,guns,8.93,8.93,16.07,8.93,9.52,23.21,14.29,10.12
1081,guns,7.18,6.15,7.69,7.18,6.67,47.69,6.15,11.28
1082,guns,7.58,6.44,6.82,6.82,5.3,42.8,11.74,12.5
1083,guns,5.88,11.06,11.06,8.47,5.65,35.53,7.29,15.06
1084,guns,7.89,6.84,14.21,11.05,8.95,27.37,14.21,9.47
1085,guns,14.01,11.59,7.25,10.63,5.8,24.64,13.04,13.04
1086,guns,9.47,14.79,14.79,8.28,7.69,23.67,12.43,8.88
1087,guns,17.1,8.29,15.03,12.44,5.7,20.73,9.84,10.88
1088,guns,8.21,8.21,8.96,8.96,7.09,40.3,5.97,12.31
1089,guns,6.25,22.92,8.68,6.25,4.86,27.78,11.11,12.15
1090,guns,12.85,10.06,11.73,10.61,6.15,20.67,16.2,11.73
1091,guns,8.82,6.37,6.37,9.8,6.86,28.92,10.78,22.06
