document,actual,labeled,hockey,apple hardware,for sale,politics misc,guns,atheism
1012,sci.electronics,apple hardware,25,55,48,33,33,39
1013,sci.electronics,for sale,8,14,34,18,12,11
1014,sci.electronics,apple hardware,24,117,74,24,40,40
1015,sci.electronics,apple hardware,20,66,65,26,26,28
1016,sci.electronics,for sale,8,17,23,11,7,12
1017,sci.electronics,apple hardware,20,42,17,37,19,26
1018,sci.electronics,for sale,21,37,70,25,19,32
1019,sci.electronics,politics misc,48,50,40,76,53,61
1020,sci.electronics,apple hardware,38,155,23,27,47,67
1021,sci.electronics,atheism,19,44,47,18,38,52
1022,sci.electronics,apple hardware,5,18,11,8,6,8
1023,sci.electronics,apple hardware,12,29,11,15,20,12
1024,sci.electronics,apple hardware,60,242,81,77,90,128
1025,sci.electronics,for sale,12,20,34,22,17,21
1026,sci.electronics,for sale,12,21,26,8,16,13
1027,sci.electronics,apple hardware,49,244,41,44,68,80
1028,sci.electronics,apple hardware,39,102,37,47,50,49
1029,sci.electronics,apple hardware,18,45,20,33,16,28
1030,sci.electronics,apple hardware,25,85,38,29,50,42
1031,sci.electronics,apple hardware,18,107,30,38,26,27
1032,sci.electronics,apple hardware,27,104,29,38,34,45
1033,sci.electronics,apple hardware,14,17,15,15,14,11
1034,sci.electronics,apple hardware,16,30,26,15,19,15
1035,sci.electronics,apple hardware,35,109,41,18,22,17
1036,sci.electronics,apple hardware,50,122,41,49,58,64
1037,sci.electronics,apple hardware,20,54,53,23,23,31
1038,sci.electronics,apple hardware,23,98,22,36,39,32
1039,sci.electronics,apple hardware,39,136,24,40,51,58
1040,sci.electronics,politics misc,13,15,10,28,12,5
1041,sci.electronics,apple hardware,9,41,26,26,16,15
1042,sci.electronics,politics misc,46,101,55,198,74,102
1043,sci.electronics,politics misc,27,64,31,81,49,43
1044,sci.electronics,apple hardware,19,86,23,18,22,32
1045,sci.electronics,apple hardware,16,78,17,22,30,52
1046,sci.electronics,apple hardware,23,85,28,28,22,36
1047,sci.electronics,politics misc,32,71,30,82,48,52
1048,sci.electronics,apple hardware,13,44,28,15,31,23
1049,sci.electronics,politics misc,5,15,15,23,13,5
1050,sci.electronics,apple hardware,49,138,52,62,69,93
1051,sci.electronics,for sale,7,22,24,8,6,8
1052,sci.electronics,apple hardware,10,18,11,9,10,15
1053,sci.electronics,for sale,15,25,71,20,22,25
1054,sci.electronics,for sale,7,17,23,21,14,6
1055,sci.electronics,apple hardware,33,53,31,32,51,46
1056,sci.electronics,apple hardware,11,24,10,16,18,13
1057,sci.electronics,apple hardware,14,63,29,28,19,15
1058,sci.electronics,apple hardware,15,81,19,27,19,22
1059,sci.electronics,politics misc,30,45,23,137,39,46
1060,sci.electronics,politics misc,25,49,25,95,45,43
1061,sci.electronics,for sale,15,37,92,19,35,30
1062,sci.electronics,apple hardware,26,55,27,14,11,11
1063,sci.electronics,politics misc,14,36,19,84,25,27
1064,sci.electronics,politics misc,22,29,15,69,26,21
1065,sci.electronics,politics misc,16,21,22,57,24,26
1066,sci.electronics,apple hardware,62,178,49,55,80,112
1067,sci.electronics,politics misc,9,9,9,22,3,8
1068,sci.electronics,apple hardware,51,218,66,41,64,75
1069,sci.electronics,politics misc,6,6,5,14,3,6
1070,sci.electronics,apple hardware,34,121,99,36,67,63
1071,sci.electronics,for sale,18,34,39,16,12,17
1072,sci.electronics,for sale,15,14,16,14,7,9
1073,sci.electronics,for sale,18,47,97,32,34,45
1074,sci.electronics,apple hardware,41,160,57,79,79,86
1075,sci.electronics,apple hardware,10,62,62,14,34,15
1076,sci.electronics,politics misc,32,52,33,141,51,64
1077,sci.electronics,politics misc,10,20,14,27,18,25
1078,sci.electronics,politics misc,48,67,39,124,66,98
1079,sci.electronics,for sale,27,53,114,38,59,52
1080,sci.electronics,apple hardware,7,14,12,4,6,8
1081,sci.electronics,for sale,15,39,99,27,35,36
1082,sci.electronics,apple hardware,29,50,36,34,33,25
1083,sci.electronics,politics misc,15,34,22,84,27,32
1084,sci.electronics,politics misc,19,26,24,85,34,46
1085,sci.electronics,apple hardware,40,91,51,91,74,76
1086,sci.electronics,apple hardware,8,36,27,24,9,6
1087,sci.electronics,apple hardware,6,26,15,4,9,7
1088,sci.electronics,apple hardware,27,102,36,34,46,58
1089,sci.electronics,apple hardware,50,104,65,37,69,72
1090,sci.electronics,for sale,22,35,64,31,28,27
1091,sci.electronics,apple hardware,50,239,52,42,74,75
1092,sci.electronics,apple hardware,21,44,19,22,25,21
1093,sci.electronics,for sale,16,30,61,24,22,37
1094,sci.electronics,apple hardware,18,32,26,26,17,15
1095,sci.electronics,politics misc,17,29,32,48,23,20
1096,sci.electronics,apple hardware,66,141,123,56,87,103
1097,sci.electronics,apple hardware,27,57,37,22,25,26
1098,sci.electronics,apple hardware,9,38,18,16,10,7
1099,sci.electronics,apple hardware,12,38,18,14,24,23
1100,sci.electronics,apple hardware,25,58,44,19,30,32
1101,sci.electronics,for sale,19,20,35,35,11,17
1102,sci.electronics,guns,19,23,23,34,36,30
1103,sci.electronics,for sale,17,30,47,24,27,37
1104,sci.electronics,apple hardware,26,30,21,17,15,14
1105,sci.electronics,politics misc,13,19,14,27,12,21
1106,sci.electronics,apple hardware,26,60,37,43,38,48
1107,sci.electronics,apple hardware,10,24,18,12,9,9
1108,sci.electronics,for sale,16,25,54,21,17,33
1109,sci.electronics,apple hardware,13,15,8,10,12,12
1110,sci.electronics,apple hardware,15,23,19,16,19,20
1111,sci.electronics,politics misc,24,41,29,58,36,33
1112,sci.electronics,apple hardware,24,32,21,21,23,24
1113,sci.electronics,for sale,12,16,28,15,10,11
1114,sci.electronics,for sale,16,25,28,12,16,18
1115,sci.electronics,atheism,34,78,48,51,51,86
1116,sci.electronics,apple hardware,21,35,30,18,21,21
1117,sci.electronics,apple hardware,6,14,10,6,4,3
1118,sci.electronics,apple hardware,6,11,9,5,8,6
1119,sci.electronics,politics misc,9,13,13,14,9,11
1120,sci.electronics,apple hardware,33,55,52,32,39,37
1121,sci.electronics,apple hardware,38,80,56,52,48,62
1122,sci.electronics,apple hardware,40,99,40,47,45,66
1123,sci.electronics,apple hardware,7,19,17,16,13,10
1124,sci.electronics,apple hardware,22,39,32,37,33,31
1125,sci.electronics,apple hardware,26,51,51,32,30,44
1126,sci.electronics,apple hardware,24,30,26,22,30,26
1127,sci.electronics,apple hardware,25,40,29,30,31,38
1128,sci.electronics,atheism,24,40,28,26,24,43
1129,sci.electronics,apple hardware,30,54,30,31,49,48
1130,sci.electronics,atheism,35,49,35,34,41,50
1131,sci.electronics,apple hardware,13,39,19,15,28,26
1132,sci.electronics,apple hardware,33,87,46,42,49,62
1133,sci.electronics,apple hardware,13,18,12,17,7,14
1134,sci.electronics,politics misc,7,9,10,11,6,11
1135,sci.electronics,apple hardware,18,34,32,19,25,27
1136,sci.electronics,apple hardware,9,23,13,17,15,8
1137,sci.electronics,apple hardware,43,71,37,51,38,38
1138,sci.electronics,guns,24,32,29,31,34,22
1139,sci.electronics,apple hardware,7,37,24,25,17,15
1140,sci.electronics,apple hardware,13,26,21,17,12,21
1141,sci.electronics,apple hardware,43,70,44,47,23,51
1142,sci.electronics,apple hardware,15,35,32,19,17,14
1143,sci.electronics,apple hardware,20,37,24,23,22,23
1144,sci.electronics,apple hardware,10,31,17,31,7,18
1145,sci.electronics,apple hardware,22,55,25,38,38,38
1146,sci.electronics,apple hardware,39,93,41,44,66,70
1147,sci.electronics,apple hardware,12,34,16,14,19,10
1148,sci.electronics,apple hardware,12,21,20,20,14,17
1149,sci.electronics,for sale,8,14,15,10,4,15
1150,sci.electronics,for sale,20,23,33,17,10,19
1151,sci.electronics,for sale,15,42,59,21,35,28
1152,sci.electronics,for sale,14,19,29,12,11,9
1153,sci.electronics,apple hardware,21,66,22,32,42,51
1154,sci.electronics,for sale,17,25,30,23,14,25
1155,sci.electronics,apple hardware,20,52,40,25,23,24
1156,sci.electronics,for sale,16,23,24,10,13,16
1157,sci.electronics,apple hardware,29,66,36,24,35,50
1158,sci.electronics,apple hardware,25,49,49,20,20,19
1159,sci.electronics,politics misc,20,36,37,58,23,30
1160,sci.electronics,guns,13,21,22,9,27,22
1161,sci.electronics,apple hardware,35,65,30,34,31,43
1162,sci.electronics,apple hardware,30,32,18,20,20,25
1163,sci.electronics,atheism,38,53,44,34,51,55
1164,sci.electronics,apple hardware,13,24,17,22,19,18
1165,sci.electronics,guns,8,12,13,14,21,14
1166,sci.electronics,atheism,40,65,45,38,50,66
1167,sci.electronics,atheism,29,33,26,22,30,34
1168,sci.electronics,atheism,31,48,32,22,40,49
1169,sci.electronics,apple hardware,46,107,66,61,64,86
1170,sci.electronics,atheism,48,77,51,48,55,79
1171,sci.electronics,atheism,55,96,40,54,86,99
1172,sci.electronics,apple hardware,38,117,72,48,68,73
1173,sci.electronics,apple hardware,13,39,18,22,14,15
1174,sci.electronics,politics misc,16,21,27,32,20,15
1175,sci.electronics,apple hardware,16,35,35,12,26,23
1176,sci.electronics,politics misc,35,56,32,61,37,57
1177,sci.electronics,apple hardware,38,75,48,39,49,54
1178,sci.electronics,apple hardware,14,27,15,19,13,12
1179,sci.electronics,guns,28,41,28,33,43,34
1180,sci.electronics,apple hardware,37,61,29,23,20,38
1181,sci.electronics,apple hardware,16,31,26,25,18,24
1182,sci.electronics,apple hardware,39,86,34,46,44,66
1183,sci.electronics,apple hardware,991,2414,1339,1168,2007,2173
1184,sci.electronics,for sale,26,35,37,32,26,23
1185,sci.electronics,apple hardware,13,31,19,17,22,14
1186,sci.electronics,for sale,20,22,27,19,22,19
1187,sci.electronics,apple hardware,41,66,51,40,44,55
1188,sci.electronics,apple hardware,28,55,44,31,38,39
1189,sci.electronics,apple hardware,28,60,50,31,30,38
1190,sci.electronics,for sale,7,31,35,12,11,24
1191,sci.electronics,apple hardware,61,92,48,38,82,81
1192,sci.electronics,apple hardware,15,34,31,22,18,21
1193,sci.electronics,for sale,28,36,37,22,25,31
1194,sci.electronics,apple hardware,16,40,29,28,23,36
1195,sci.electronics,apple hardware,23,35,33,29,17,31
1196,sci.electronics,apple hardware,61,84,59,52,70,73
1197,sci.electronics,apple hardware,16,32,20,19,17,20
1198,sci.electronics,guns,31,38,35,34,51,41
1199,sci.electronics,atheism,22,35,33,26,36,39
